text,label
激动,兴奋
开心极了,兴奋
喜滋滋,兴奋
心里乐开花,兴奋
兴高采烈,兴奋
欢喜得很,兴奋
心头一热,兴奋
眉开眼笑,兴奋
乐得跳脚,兴奋
心情一下亮了,兴奋
喜形于色,兴奋
喜出望外,兴奋
大喜过望,兴奋
心花怒放,兴奋
乐不可支,兴奋
手舞足蹈,兴奋
欢呼雀跃,兴奋
眉飞色舞,兴奋
欣喜若狂,兴奋
情绪高昂,兴奋
精神大振,兴奋
满面春风,兴奋
喜不自胜,兴奋
心潮澎湃,兴奋
激动难耐,兴奋
笑逐颜开,兴奋
欣然应声,兴奋
兴致勃勃,兴奋
斗志昂扬,兴奋
意气风发,兴奋
忍不住小跑了两步,兴奋
整个人都亮了,兴奋
脚尖轻轻跳了跳,兴奋
眼睛一下子亮起来,兴奋
嘴角抑制不住地上扬,兴奋
忍不住拍了拍手,兴奋
脚步变得轻快,兴奋
双肩微微颤着,兴奋
呼吸一下急促了点,兴奋
语气变得活泼起来,兴奋
整个人像被点亮,兴奋
说话都有些快起来,兴奋
忍不住来回走动,兴奋
双手不停地比划,兴奋
站也站不住了,兴奋
脚下像踩着弹簧,兴奋
声音一下拔高,兴奋
不自觉地挺直了腰,兴奋
目光变得闪闪发光,兴奋
跳了一下几乎要蹦起来,兴奋
整个人像被电到一样抖了一下,兴奋
双手挥舞着像是在庆祝,兴奋
忍不住原地转了个圈,兴奋
差点把手里的东西抛出去,兴奋
脚步在地板上轻轻敲着节奏,兴奋
整个人向前扑了一小步,兴奋
像小动物一样摇头晃脑,兴奋
耳朵一下竖了起来,兴奋
尾巴似乎要摇断了,兴奋
手指不停敲着桌子,兴奋
整个身体在座位上坐不住,兴奋
脚跟离地一上一下,兴奋
双脚在原地乱蹬,兴奋
像被打了鸡血一样精神,兴奋
仿佛瞬间充满能量,兴奋
整个人轻飘飘的像要飞起来,兴奋
忍不住抓住旁边的东西晃,兴奋
眼睛闪得像星星一样,兴奋
突然用力点了点头,兴奋
身体前倾像要冲过去,兴奋
嘴巴张开像要笑出来,兴奋
突然举起了拳头,兴奋
脚下轻轻跳了好几下,兴奋
整个人向前凑了一点,兴奋
一下子贴到你面前,兴奋
像猫一样在原地转圈,兴奋
忍不住抓着你的袖子摇晃,兴奋
整个人像被点燃,兴奋
“真的假的？太棒了吧！”,兴奋
“我忍不住了！”,兴奋
“这也太好了吧！”,兴奋
“嘿嘿，等不及了”,兴奋
“有点东西了！”,兴奋
“哎呀我直接起飞”,兴奋
“这下有意思了”,兴奋
“整个人都精神了”,兴奋
“好爽啊这一刻”,兴奋
“这感觉我爱了”,兴奋
“我已经坐不住了”,兴奋
“这一下有点燃”,兴奋
“嗓子都不自觉提高了”,兴奋
“我脑子一下炸开花”,兴奋
“哈？真的假的，我要疯了”,兴奋
“这下我醒了”,兴奋
